uuid,spot_number,shot_number,shots_in_spot,image_filename,image_width,image_height,image_quality,capture_datetime,latitude,longitude,altitude_m,altitude_accuracy_m,gps_accuracy_m,gps_reading_count,camera_pitch,camera_roll,camera_heading,municipality,barangay,farm_name,crops,temperature_c,humidity_percent,notes,device_id,capture_mode,ph,k,p,n
aeeed204,1,1,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003127_aeeed204.jpg,1080.0,1080.0,1080p,2026-01-21T00:31:27.435Z,16.453933,120.591581,1363.0,6.0,3.3,1.0,18.0,-8.0,4.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79.0,,TECNO_TECNO_CM8_5EAA20,field,6.4,1.0,0.0,0.0
a18676dc,1,2,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003130_a18676dc.jpg,1080.0,1080.0,1080p,2026-01-21T00:31:30.356Z,16.453933,120.591581,1363.0,6.0,3.3,1.0,18.0,1.0,355.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79.0,,TECNO_TECNO_CM8_5EAA20,field,6.4,1.0,0.0,0.0
f781136b,1,3,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003133_f781136b.jpg,1080.0,1080.0,1080p,2026-01-21T00:31:33.202Z,16.453933,120.591581,1363.0,6.0,3.3,1.0,18.0,26.0,346.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79.0,,TECNO_TECNO_CM8_5EAA20,field,6.4,1.0,0.0,0.0
7cfb041f,1,4,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003137_7cfb041f.jpg,1080.0,1080.0,1080p,2026-01-21T00:31:37.907Z,16.453933,120.591581,1363.0,6.0,3.3,1.0,38.0,33.0,331.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79.0,,TECNO_TECNO_CM8_5EAA20,field,6.4,1.0,0.0,0.0
db27f1eb,1,5,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003140_db27f1eb.jpg,1080.0,1080.0,1080p,2026-01-21T00:31:40.736Z,16.453933,120.591581,1363.0,6.0,3.3,1.0,46.0,32.0,342.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79.0,,TECNO_TECNO_CM8_5EAA20,field,6.4,1.0,0.0,0.0
96bf360c,1,6,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003144_96bf360c.jpg,1080.0,1080.0,1080p,2026-01-21T00:31:44.907Z,16.453933,120.591581,1363.0,6.0,3.3,1.0,39.0,-18.0,8.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79.0,,TECNO_TECNO_CM8_5EAA20,field,6.4,1.0,0.0,0.0
112ef8c4,1,7,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003149_112ef8c4.jpg,1080.0,1080.0,1080p,2026-01-21T00:31:49.926Z,16.453933,120.591581,1363.0,6.0,3.3,1.0,20.0,-43.0,325.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79.0,,TECNO_TECNO_CM8_5EAA20,field,6.4,1.0,0.0,0.0
1275bf50,1,8,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003200_1275bf50.jpg,1080.0,1080.0,1080p,2026-01-21T00:32:00.437Z,16.453933,120.591581,1363.0,6.0,3.3,1.0,43.0,11.0,99.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79.0,,TECNO_TECNO_CM8_5EAA20,field,6.4,1.0,0.0,0.0
7abe8ee7,1,9,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003203_7abe8ee7.jpg,1080.0,1080.0,1080p,2026-01-21T00:32:03.762Z,16.453933,120.591581,1363.0,6.0,3.3,1.0,20.0,51.0,72.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79.0,,TECNO_TECNO_CM8_5EAA20,field,6.4,1.0,0.0,0.0
fb7138ab,1,10,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003211_fb7138ab.jpg,1080.0,1080.0,1080p,2026-01-21T00:32:11.445Z,16.453933,120.591581,1363.0,6.0,3.3,1.0,15.0,-6.0,356.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79.0,,TECNO_TECNO_CM8_5EAA20,field,6.4,1.0,0.0,0.0
6c88ac7d,2,1,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003253_6c88ac7d.jpg,1080.0,1080.0,1080p,2026-01-21T00:32:53.239Z,16.453927,120.591525,1359.0,2.0,3.0,1.0,24.0,33.0,301.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79.0,,TECNO_TECNO_CM8_5EAA20,field,6.4,0.0,0.0,0.0
334240c9,2,2,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003256_334240c9.jpg,1080.0,1080.0,1080p,2026-01-21T00:32:56.622Z,16.453922,120.591506,1358.0,15.0,3.0,1.0,23.0,33.0,294.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79.0,,TECNO_TECNO_CM8_5EAA20,field,6.4,0.0,0.0,0.0
ab7d4593,2,3,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003300_ab7d4593.jpg,1080.0,1080.0,1080p,2026-01-21T00:33:00.045Z,16.453922,120.591506,1358.0,15.0,3.0,1.0,30.0,37.0,329.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79.0,,TECNO_TECNO_CM8_5EAA20,field,6.4,0.0,0.0,0.0
89dd44c7,2,4,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003304_89dd44c7.jpg,1080.0,1080.0,1080p,2026-01-21T00:33:04.403Z,16.453922,120.591506,1358.0,15.0,3.0,1.0,15.0,-46.0,3.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79.0,,TECNO_TECNO_CM8_5EAA20,field,6.4,0.0,0.0,0.0
7a20fcfe,2,5,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003309_7a20fcfe.jpg,1080.0,1080.0,1080p,2026-01-21T00:33:09.890Z,16.453922,120.591506,1358.0,15.0,3.0,1.0,12.0,52.0,110.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79.0,,TECNO_TECNO_CM8_5EAA20,field,6.4,0.0,0.0,0.0
2a6889bd,2,6,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003313_2a6889bd.jpg,1080.0,1080.0,1080p,2026-01-21T00:33:13.683Z,16.453922,120.591506,1358.0,15.0,3.0,1.0,16.0,-50.0,199.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79.0,,TECNO_TECNO_CM8_5EAA20,field,6.4,0.0,0.0,0.0
c169c15d,2,7,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003316_c169c15d.jpg,1080.0,1080.0,1080p,2026-01-21T00:33:16.708Z,16.453922,120.591506,1358.0,15.0,3.0,1.0,18.0,-41.0,200.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79.0,,TECNO_TECNO_CM8_5EAA20,field,6.4,0.0,0.0,0.0
14b7b2d2,2,8,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003320_14b7b2d2.jpg,1080.0,1080.0,1080p,2026-01-21T00:33:20.770Z,16.453922,120.591506,1358.0,15.0,3.0,1.0,16.0,51.0,166.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79.0,,TECNO_TECNO_CM8_5EAA20,field,6.4,0.0,0.0,0.0
8089d36b,2,9,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003324_8089d36b.jpg,1080.0,1080.0,1080p,2026-01-21T00:33:24.573Z,16.453922,120.591506,1358.0,15.0,3.0,1.0,48.0,1.0,159.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79.0,,TECNO_TECNO_CM8_5EAA20,field,6.4,0.0,0.0,0.0
f3a634a8,2,10,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003328_f3a634a8.jpg,1080.0,1080.0,1080p,2026-01-21T00:33:28.796Z,16.453922,120.591506,1358.0,15.0,3.0,1.0,33.0,2.0,177.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79.0,,TECNO_TECNO_CM8_5EAA20,field,6.4,0.0,0.0,0.0
5648081d,2,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_055849_5648081d.jpg,1080.0,1080.0,1080p,2026-01-21T05:58:49.456Z,,,,,,,14.0,0.0,193.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",,,,TECNO_TECNO_CM8_DF2CAC,controlled,6.4,0.0,0.0,0.0
4a4cc156,2,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_055853_4a4cc156.jpg,1080.0,1080.0,1080p,2026-01-21T05:58:53.037Z,,,,,,,16.0,0.0,153.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",,,,TECNO_TECNO_CM8_DF2CAC,controlled,6.4,0.0,0.0,0.0
03530df5,2,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_055856_03530df5.jpg,1080.0,1080.0,1080p,2026-01-21T05:58:56.922Z,,,,,,,16.0,-1.0,237.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",,,,TECNO_TECNO_CM8_DF2CAC,controlled,6.4,0.0,0.0,0.0
b0be4a11,2,4,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_055900_b0be4a11.jpg,1080.0,1080.0,1080p,2026-01-21T05:59:00.785Z,,,,,,,5.0,-2.0,193.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",,,,TECNO_TECNO_CM8_DF2CAC,controlled,6.4,0.0,0.0,0.0
e8baf836,2,5,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_055905_e8baf836.jpg,1080.0,1080.0,1080p,2026-01-21T05:59:05.613Z,,,,,,,8.0,-4.0,264.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",,,,TECNO_TECNO_CM8_DF2CAC,controlled,6.4,0.0,0.0,0.0
d50692f6,3,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_060036_d50692f6.jpg,1080.0,1080.0,1080p,2026-01-21T06:00:36.527Z,,,,,,,0.0,-8.0,285.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",,,,TECNO_TECNO_CM8_DF2CAC,controlled,6.4,0.0,0.0,0.0
36582afc,3,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_060040_36582afc.jpg,1080.0,1080.0,1080p,2026-01-21T06:00:40.422Z,,,,,,,21.0,-1.0,285.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",,,,TECNO_TECNO_CM8_DF2CAC,controlled,6.4,0.0,0.0,0.0
551b50d7,3,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_060051_551b50d7.jpg,1080.0,1080.0,1080p,2026-01-21T06:00:51.872Z,,,,,,,7.0,11.0,296.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",,,,TECNO_TECNO_CM8_DF2CAC,controlled,6.4,0.0,0.0,0.0
e1305424,3,4,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_060055_e1305424.jpg,1080.0,1080.0,1080p,2026-01-21T06:00:55.948Z,,,,,,,-17.0,-25.0,283.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",,,,TECNO_TECNO_CM8_DF2CAC,controlled,6.4,0.0,0.0,0.0
0405644a,3,5,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_060100_0405644a.jpg,1080.0,1080.0,1080p,2026-01-21T06:01:00.274Z,,,,,,,20.0,2.0,284.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",,,,TECNO_TECNO_CM8_DF2CAC,controlled,6.4,0.0,0.0,0.0
fd1cb8e3,3,1,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003420_fd1cb8e3.jpg,1080.0,1080.0,1080p,2026-01-21T00:34:20.370Z,16.453938,120.59154,1365.0,19.0,3.4,1.0,28.0,7.0,81.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",16.9,79.0,,realme_RMX3840_0FE2DF,field,6.4,0.0,0.0,0.0
0dc8cdd8,3,2,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003425_0dc8cdd8.jpg,1080.0,1080.0,1080p,2026-01-21T00:34:25.473Z,16.453938,120.59154,1365.0,19.0,3.4,1.0,28.0,9.0,46.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",16.9,79.0,,realme_RMX3840_0FE2DF,field,6.4,0.0,0.0,0.0
f1609858,3,3,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003433_f1609858.jpg,1080.0,1080.0,1080p,2026-01-21T00:34:33.538Z,16.453938,120.59154,1365.0,19.0,3.4,1.0,28.0,-3.0,130.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",16.9,79.0,,realme_RMX3840_0FE2DF,field,6.4,0.0,0.0,0.0
2fc5eae0,3,4,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003437_2fc5eae0.jpg,1080.0,1080.0,1080p,2026-01-21T00:34:37.433Z,16.453938,120.59154,1365.0,19.0,3.4,1.0,29.0,-4.0,131.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",16.9,79.0,,realme_RMX3840_0FE2DF,field,6.4,0.0,0.0,0.0
7ab9485a,3,5,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003450_7ab9485a.jpg,1080.0,1080.0,1080p,2026-01-21T00:34:50.250Z,16.453938,120.59154,1365.0,19.0,3.4,1.0,18.0,-4.0,303.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",16.9,79.0,,realme_RMX3840_0FE2DF,field,6.4,0.0,0.0,0.0
2af289f7,3,6,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003453_2af289f7.jpg,1080.0,1080.0,1080p,2026-01-21T00:34:53.876Z,16.453938,120.59154,1365.0,19.0,3.4,1.0,21.0,-2.0,302.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",16.9,79.0,,realme_RMX3840_0FE2DF,field,6.4,0.0,0.0,0.0
0458bc74,3,7,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003503_0458bc74.jpg,1080.0,1080.0,1080p,2026-01-21T00:35:03.376Z,16.453951,120.591527,1363.0,10.0,3.2,1.0,25.0,4.0,221.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",16.9,79.0,,realme_RMX3840_0FE2DF,field,6.4,0.0,0.0,0.0
c4cd83c4,3,8,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003507_c4cd83c4.jpg,1080.0,1080.0,1080p,2026-01-21T00:35:07.295Z,16.453951,120.591527,1363.0,10.0,3.2,1.0,25.0,4.0,221.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",16.9,79.0,,realme_RMX3840_0FE2DF,field,6.4,0.0,0.0,0.0
df2f7e59,3,9,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003514_df2f7e59.jpg,1080.0,1080.0,1080p,2026-01-21T00:35:14.287Z,16.453951,120.591527,1363.0,10.0,3.2,1.0,6.0,20.0,298.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",16.9,79.0,,realme_RMX3840_0FE2DF,field,6.4,0.0,0.0,0.0
353c9f8e,3,10,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003531_353c9f8e.jpg,1080.0,1080.0,1080p,2026-01-21T00:35:31.482Z,16.453951,120.591527,1363.0,10.0,3.2,1.0,37.0,6.0,294.0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",16.9,79.0,,realme_RMX3840_0FE2DF,field,6.4,0.0,0.0,0.0
