target,model,feature,importance
n,XGBoost,B01,0.008211717940866947
n,XGBoost,B02,0.014082268811762333
n,XGBoost,B03,0.014497232623398304
n,XGBoost,B04,0.0048234243877232075
n,XGBoost,B05,0.00656933756545186
n,XGBoost,B06,0.005309682339429855
n,XGBoost,B07,0.005760816857218742
n,XGBoost,B08,0.01162008661776781
n,XGBoost,B8A,0.014495611190795898
n,XGBoost,B09,0.007261238992214203
n,XGBoost,B11,0.013212540186941624
n,XGBoost,B12,0.0047220573760569096
n,XGBoost,B01_std,0.06428128480911255
n,XGBoost,B02_std,0.057820796966552734
n,XGBoost,B03_std,0.05190339684486389
n,XGBoost,B04_std,0.047249116003513336
n,XGBoost,B05_std,0.06040928512811661
n,XGBoost,B06_std,0.0
n,XGBoost,B07_std,0.07703908532857895
n,XGBoost,B08_std,0.0
n,XGBoost,B8A_std,0.0
n,XGBoost,B09_std,0.0
n,XGBoost,B11_std,0.0529918409883976
n,XGBoost,B12_std,0.0
n,XGBoost,temperature_c,0.0171631071716547
n,XGBoost,humidity_percent,0.023876717314124107
n,XGBoost,altitude_m,0.006230867002159357
n,XGBoost,elevation_m,0.01709902659058571
n,XGBoost,slope_deg,0.0
n,XGBoost,aspect_deg,0.005040518939495087
n,XGBoost,twi,0.0
n,XGBoost,curvature,0.0
n,XGBoost,northness,0.005786430090665817
n,XGBoost,eastness,0.0052252719178795815
n,XGBoost,sg_phh2o_0-5cm,0.01932888850569725
n,XGBoost,sg_phh2o_5-15cm,0.02692277356982231
n,XGBoost,sg_soc_0-5cm,0.026563679799437523
n,XGBoost,sg_soc_5-15cm,0.005399045068770647
n,XGBoost,sg_nitrogen_0-5cm,0.015963584184646606
n,XGBoost,sg_nitrogen_5-15cm,0.014070214703679085
n,XGBoost,sg_clay_0-5cm,0.007458156440407038
n,XGBoost,sg_clay_5-15cm,0.02454540878534317
n,XGBoost,sg_sand_0-5cm,0.01689721830189228
n,XGBoost,sg_sand_5-15cm,0.004787507466971874
n,XGBoost,sg_cec_0-5cm,0.005533134564757347
n,XGBoost,sg_cec_5-15cm,0.022556152194738388
n,XGBoost,NDVI,0.007004657760262489
n,XGBoost,EVI,0.006539679132401943
n,XGBoost,SAVI,0.010101072490215302
n,XGBoost,MSAVI,0.006718264427036047
n,XGBoost,NDRE,0.014206300489604473
n,XGBoost,CHL_re,0.008724018931388855
n,XGBoost,BSI,0.014683293178677559
n,XGBoost,BI,0.01047463994473219
n,XGBoost,NDWI,0.011597630567848682
n,XGBoost,NDMI,0.025964921340346336
n,XGBoost,crops_broccoli,0.0
n,XGBoost,crops_cabbage,0.0069724079221487045
n,XGBoost,"crops_cabbage,custom_chinese",0.0
n,XGBoost,"crops_cabbage,custom_chinese_cabbage",0.011963844299316406
n,XGBoost,crops_carrot,0.026923879981040955
n,XGBoost,"crops_carrot,lettuce,custom_green_ice",0.0
n,XGBoost,crops_corn,0.0
n,XGBoost,crops_lettuce,0.013455641455948353
n,XGBoost,"crops_lettuce,custom_chinese",0.0
n,XGBoost,"crops_lettuce,custom_follow_through",0.0
n,XGBoost,"crops_lettuce,custom_iceberg",0.0
n,XGBoost,"crops_lettuce,custom_iceberg_lettuce",0.0
n,XGBoost,crops_potato,0.006503460928797722
n,XGBoost,crops_radish,0.025457799434661865
n,XGBoost,crops_tomato,0.0
n,RandomForest,B01,0.009349394875022964
n,RandomForest,B02,0.02067929128229703
n,RandomForest,B03,0.021894673615208755
n,RandomForest,B04,0.012568448801446072
n,RandomForest,B05,0.00559964020550891
n,RandomForest,B06,0.00698077539592488
n,RandomForest,B07,0.006018374268806687
n,RandomForest,B08,0.016172189871333932
n,RandomForest,B8A,0.009072442703568682
n,RandomForest,B09,0.0033743788757176836
n,RandomForest,B11,0.00735247771247161
n,RandomForest,B12,0.00654203475841373
n,RandomForest,B01_std,0.010598691536273925
n,RandomForest,B02_std,0.00912641630683491
n,RandomForest,B03_std,0.025598642607082188
n,RandomForest,B04_std,0.01609356379703228
n,RandomForest,B05_std,0.03233394789473267
n,RandomForest,B06_std,0.008511172931409301
n,RandomForest,B07_std,0.02357814802415211
n,RandomForest,B08_std,0.010853208635983188
n,RandomForest,B8A_std,0.022919981183610293
n,RandomForest,B09_std,0.0069329983422236315
n,RandomForest,B11_std,0.013554782472238916
n,RandomForest,B12_std,0.01375461842332505
n,RandomForest,temperature_c,0.04941842520066786
n,RandomForest,humidity_percent,0.14698457606015666
n,RandomForest,altitude_m,0.03408104903470308
n,RandomForest,elevation_m,0.00678125787833433
n,RandomForest,slope_deg,0.0008461066768361237
n,RandomForest,aspect_deg,0.055230431488100924
n,RandomForest,twi,0.0009400745818083093
n,RandomForest,curvature,0.0004698375691377682
n,RandomForest,northness,0.054118413430768036
n,RandomForest,eastness,0.036419552562426
n,RandomForest,sg_phh2o_0-5cm,0.0026120827681110105
n,RandomForest,sg_phh2o_5-15cm,0.0030597007057219113
n,RandomForest,sg_soc_0-5cm,0.0012043827455633098
n,RandomForest,sg_soc_5-15cm,0.005637577854546315
n,RandomForest,sg_nitrogen_0-5cm,0.003102017465474779
n,RandomForest,sg_nitrogen_5-15cm,0.003863669639356637
n,RandomForest,sg_clay_0-5cm,0.00032906677190773314
n,RandomForest,sg_clay_5-15cm,0.001558662194438925
n,RandomForest,sg_sand_0-5cm,0.008643114590531156
n,RandomForest,sg_sand_5-15cm,0.010581590427941238
n,RandomForest,sg_cec_0-5cm,0.000989700805333361
n,RandomForest,sg_cec_5-15cm,0.005934949077382952
n,RandomForest,NDVI,0.009706262245290788
n,RandomForest,EVI,0.012858562725765325
n,RandomForest,SAVI,0.008438623317563015
n,RandomForest,MSAVI,0.011613278290514388
n,RandomForest,NDRE,0.008360166918325137
n,RandomForest,CHL_re,0.01086794599627691
n,RandomForest,BSI,0.04944101158276386
n,RandomForest,BI,0.012195854641247103
n,RandomForest,NDWI,0.010640974731450986
n,RandomForest,NDMI,0.03767520151248455
n,RandomForest,crops_broccoli,2.1792403699352767e-17
n,RandomForest,crops_cabbage,0.00871586727071597
n,RandomForest,"crops_cabbage,custom_chinese",0.0
n,RandomForest,"crops_cabbage,custom_chinese_cabbage",0.005065579085810036
n,RandomForest,crops_carrot,0.01407757839525239
n,RandomForest,"crops_carrot,lettuce,custom_green_ice",0.0
n,RandomForest,crops_corn,1.475577268792419e-17
n,RandomForest,crops_lettuce,0.014952948563407835
n,RandomForest,"crops_lettuce,custom_chinese",1.9595781453791455e-05
n,RandomForest,"crops_lettuce,custom_follow_through",0.0
n,RandomForest,"crops_lettuce,custom_iceberg",2.295697301027665e-17
n,RandomForest,"crops_lettuce,custom_iceberg_lettuce",0.0006209460229142327
n,RandomForest,crops_potato,0.002640213443593907
n,RandomForest,crops_radish,0.02984285542530182
n,RandomForest,crops_tomato,2.4973283346585176e-17
n,SVM,B01,0.0
n,SVM,B02,0.0
n,SVM,B03,0.0
n,SVM,B04,0.0
n,SVM,B05,0.0
n,SVM,B06,0.0
n,SVM,B07,0.0
n,SVM,B08,-0.003157894736842115
n,SVM,B8A,0.0
n,SVM,B09,0.0
n,SVM,B11,-0.003157894736842115
n,SVM,B12,0.0
n,SVM,B01_std,0.0
n,SVM,B02_std,0.0
