model,oa,macro_f1,weighted_f1,kappa,mae,mae_real,mae_real_unit,fold_oa_mean,fold_oa_std,fold_oa_ci95,fold_macro_f1_mean,fold_macro_f1_std,fold_macro_f1_ci95,fold_kappa_mean,fold_kappa_std,fold_kappa_ci95,fold_mae_mean,fold_mae_std,fold_mae_ci95,target
XGBoost,0.8947368421052632,0.4722222222222222,0.8649122807017543,-0.034858387799564294,0.10526315789473684,1.05,mg/kg,0.8789838279310425,0.09556544505561561,0.1326661060753566,0.566372176882145,0.21797443331335542,0.30259702421556484,,,,0.12101617206895751,0.09556544505561561,0.13266610607535656,n
RandomForest,0.9157894736842105,0.47802197802197804,0.875534991324465,0.0,0.08421052631578947,0.84,mg/kg,0.8989838279310425,0.10379499588822279,0.1440905541389409,0.5717450545954483,0.21580582943188814,0.29958651939965847,,,,0.10101617206895752,0.10379499588822279,0.1440905541389409,n
SVM,0.9157894736842105,0.47802197802197804,0.875534991324465,0.0,0.08421052631578947,0.84,mg/kg,0.8989838279310425,0.10379499588822279,0.1440905541389409,0.5717450545954483,0.21580582943188814,0.29958651939965847,,,,0.10101617206895752,0.10379499588822279,0.1440905541389409,n
FCNN,0.9157894736842105,0.47802197802197804,0.875534991324465,0.0,0.08421052631578947,0.84,mg/kg,0.8989838279310425,0.10379499588822279,0.1440905541389409,0.5717450545954483,0.21580582943188814,0.29958651939965847,,,,0.10101617206895752,0.10379499588822279,0.1440905541389409,n
XGBoost,0.37473684210526315,0.37235450723861047,0.3745913226567682,0.051213935032618174,0.9178947368421052,14.69,mg/kg,0.2911620068524405,0.16265604297260935,0.22580278717107202,0.18389364148728565,0.09463083980098007,0.13136866598309405,-0.010332323375921205,0.028013244533477526,0.03888861783284133,0.9930913787636217,0.2130104703429865,0.2957059388698329,p
RandomForest,0.44,0.38273543149236405,0.4179590107645976,0.07159075044271201,0.84,13.44,mg/kg,0.3771206911219905,0.15502001223027914,0.21520227708223066,0.26207520165763515,0.11492636611103291,0.15954337332357377,0.05933272181107931,0.09116548002215641,0.12655797538526192,0.9098156647099314,0.24654461571282069,0.34225879575436663,p
SVM,0.38526315789473686,0.36053590171473493,0.3791570837774378,0.037554124569779024,0.9157894736842105,14.65,mg/kg,0.3057288568180236,0.16271504981499244,0.22588470180042583,0.1986385939219894,0.10246196050852903,0.1422400043614378,-0.0233479987913358,0.0365286653734967,0.05070991708782662,0.9701202348082323,0.2614471148446898,0.3629467811393128,p
FCNN,0.3894736842105263,0.38818537938799574,0.3916883396272931,0.0765198037059881,0.9031578947368422,14.45,mg/kg,0.3953179424116569,0.08504510059512194,0.11806152663419035,0.2689886480007965,0.04478335932500164,0.0621692693961075,-0.02041035796686228,0.06554210839318604,0.09098703301630245,0.8075600980687874,0.16776852082566107,0.23290004422634078,p
XGBoost,0.27578947368421053,0.2222222222222222,0.296140350877193,-0.08267129595886646,1.1726315789473685,91.47,mg/kg,0.393020719738277,0.3486002738978568,0.48393476206715824,0.18624708624708625,0.17453614024915884,0.24229500613744676,-0.04587354104726269,0.06358203599654343,0.08826601631055662,0.8962984291978933,0.6896619544745896,0.9574042788710606,k
RandomForest,0.3494736842105263,0.2080200501253133,0.277214087851207,-0.06249366593794803,0.88,68.64,mg/kg,0.4943763428385809,0.31907424016055597,0.44294605614424126,0.27166706856362033,0.15041901030369217,0.2088150624431917,-0.012233598492943698,0.024488840804159723,0.03399596109133869,0.6655811039699298,0.5142182811443903,0.7138494148432839,k
SVM,0.3410526315789474,0.21995926680244401,0.29312466502304646,-0.021926659105749646,0.9663157894736842,75.37,mg/kg,0.4673064340239913,0.29812319592323594,0.4138613440334964,0.23684537684537688,0.14690997120487123,0.20394373522825715,-0.03863083733399839,0.054558785650209565,0.07573973668203013,0.688012714912179,0.5749233577638979,0.7981215712637285,k
FCNN,0.3452631578947368,0.22267481330617786,0.29674348804802225,-0.01640280443921527,0.9663157894736842,75.37,mg/kg,0.5081635768811341,0.3160432544535721,0.43873837342920136,0.2600266138061414,0.16998257980595993,0.2359736508355758,-0.011005948036920944,0.021313678804850387,0.029588129595742457,0.651155572055036,0.5956520081198969,0.8268975511728635,k
XGBoost,0.3227176220806794,0.12464821763602253,0.2430706592097768,0.03988114256502007,0.3685774946921444,0.37,pH units,0.27079222012142096,0.14735187907564734,0.2045572017006395,0.11057791440970104,0.06202647186449717,0.08610654710043607,-0.02192466131650168,0.028924709147296977,0.04015393356564134,0.9034833145856768,0.09114823908647571,0.12653404112952207,ph
RandomForest,0.40552016985138006,0.16285072744356913,0.36342356303942885,0.13310984026819173,0.3668789808917198,0.37,pH units,0.31887925711413734,0.1969063468673556,0.2733498314711247,0.10558217892596393,0.06431285839207439,0.08928056044197705,0.008498486155744755,0.043533652917575695,0.06043439877719144,0.9558720532273892,0.1655248180936028,0.2297852854923698,ph
SVM,0.47558386411889597,0.2307253871448245,0.4296487396270738,0.2232808118573909,0.3320594479830149,0.33,pH units,0.5391673487622558,0.10566018543881972,0.14667985233795136,0.2875874630060325,0.13452921014768615,0.18675648351033464,0.08740024931589492,0.12123365455641238,0.168299293389196,0.6774654285235622,0.24261388170411005,0.3368020621552071,ph
FCNN,0.35668789808917195,0.17427583936800525,0.35279294307956727,0.10741894326028212,0.40849256900212316,0.41,pH units,0.3965327525548668,0.21391159771065,0.29695690420438736,0.1864524623260771,0.12621794691315222,0.1752186004475685,0.029134849272347017,0.03811386812003604,0.05291053129101424,0.9236653662972978,0.3595754667746511,0.4991707723378468,ph
