model,oa,macro_f1,weighted_f1,kappa,mae,mae_real,mae_real_unit,fold_oa_mean,fold_oa_std,fold_oa_ci95,fold_macro_f1_mean,fold_macro_f1_std,fold_macro_f1_ci95,fold_kappa_mean,fold_kappa_std,fold_kappa_ci95,fold_mae_mean,fold_mae_std,fold_mae_ci95,target
XGBoost,0.8842105263157894,0.652042460808993,0.8883991254357576,0.30453879941434847,0.11578947368421053,1.16,mg/kg,0.8842105263157893,0.02400369315998184,0.03332246819035073,0.640065597070503,0.08345285616972231,0.1158511370136007,0.28384804254366486,0.16730674713290178,0.2322589995718555,0.11578947368421053,0.02400369315998186,0.03332246819035076,n
RandomForest,0.8863157894736842,0.6686046511627908,0.8919706242350062,0.3380645161290323,0.11368421052631579,1.14,mg/kg,0.8863157894736842,0.027770328333206154,0.03855139608523298,0.6678260846658413,0.04320480820043813,0.05997788912455808,0.33923002959270343,0.08544657301615015,0.11861885970330818,0.11368421052631579,0.027770328333206147,0.03855139608523297,n
SVM,0.7136842105263158,0.562875548097223,0.7763860199950425,0.19870999751922602,0.2863157894736842,2.86,mg/kg,0.7136842105263158,0.04679181214924813,0.06495744890255743,0.5634354063708388,0.03553726544488382,0.04933363334828128,0.2016787571825424,0.05074277732483683,0.07044226786384251,0.2863157894736842,0.04679181214924815,0.06495744890255745,n
FCNN,0.8,0.613407581923324,0.8367530520454058,0.25382389417114515,0.2,2.0,mg/kg,0.8,0.05841868179162781,0.08109813155623641,0.6147161745873648,0.056725525372669935,0.07874765363036149,0.2601906015107379,0.10001360700979979,0.1388411448177674,0.2,0.05841868179162782,0.08109813155623641,n
XGBoost,0.5978947368421053,0.5710344827586207,0.5987600725952813,0.3729957980870239,0.5452631578947369,8.72,mg/kg,0.5978947368421053,0.04534875627060637,0.06295416618716651,0.5712906510671601,0.04225718157879393,0.05866237247694849,0.3735278069235914,0.0643645864445552,0.08935237049103294,0.5452631578947369,0.05819063141509579,0.08078154688040597,p
RandomForest,0.6273684210526316,0.6081083656748252,0.6346237413712635,0.4303360052037104,0.47789473684210526,7.65,mg/kg,0.6273684210526316,0.04688643673962126,0.06508880889294384,0.6075619764191791,0.046231751757442374,0.0641799604358353,0.43048639538520206,0.07036174058499915,0.09767775512020908,0.47789473684210526,0.06087087282021456,0.08450231844540122,p
SVM,0.5031578947368421,0.4813637495479224,0.5053449951660576,0.239922704003797,0.68,10.88,mg/kg,0.5031578947368421,0.0315086937833595,0.0437410793129924,0.4804266122353541,0.029410836097131583,0.040828785960827854,0.24008500725349063,0.04790504818936359,0.0665028682798116,0.6799999999999999,0.04735672370190313,0.06574167186017675,p
FCNN,0.4926315789473684,0.4783004258614015,0.497887360678118,0.22361406887945423,0.6947368421052632,11.12,mg/kg,0.4926315789473684,0.05043852021351976,0.07001989128012358,0.4773326466814528,0.05325388212820513,0.07392824018381783,0.2242163279262963,0.0753524236775088,0.10460593394210499,0.6947368421052632,0.06690630981924509,0.09288084820224522,p
XGBoost,0.7663157894736842,0.7653250415398754,0.7650968173030361,0.6392874002011371,0.2336842105263158,18.23,mg/kg,0.7663157894736843,0.02526315789473683,0.0350708855393406,0.7642417824469149,0.025396167809500006,0.035255532902734095,0.6390086171427645,0.04064931482183504,0.05643029558336412,0.2336842105263158,0.025263157894736855,0.03507088553934063,k
RandomForest,0.7768421052631579,0.7787890095359232,0.7733699302409035,0.6605129726522466,0.2231578947368421,17.41,mg/kg,0.7768421052631578,0.04071385180171311,0.05651988727430747,0.7782884448541629,0.04152566642266253,0.057646866639638986,0.660419084326116,0.06248004791363683,0.08673621160117044,0.22315789473684214,0.04071385180171308,0.05651988727430743,k
SVM,0.783157894736842,0.7846430103064259,0.784301382466334,0.6699185675444099,0.2168421052631579,16.91,mg/kg,0.783157894736842,0.01427858943815846,0.01982185987735202,0.784444228001342,0.013925310852480036,0.01933143057736299,0.6699369284568298,0.020430996186415012,0.028362769678043426,0.2168421052631579,0.014278589438158455,0.019821859877352015,k
